AGENT_NAVN;AGENT_NR;BluJayDept;DeptName
Posten Bring, Avd. Oslo;1000;1002;Oslo Distribusjon
Posten Norge AS, avd. Fredrikstad;1700;1009;Fredrikstad Distribusjon
Posten Bring, Avd. Kongsvinger;2200;1002;Oslo Distribusjon
Posten Bring, Avd. Hamar;2380;1027;Hamar Distribusjon
Posten Bring, avd. Drammen;3000;1013;Drammen Distribusjon
Posten Bring, Avd. Stokke;3200;1007;Stokke Distribusjon
Posten Bring, avd. Gol;3550;1013;Drammen Distribusjon
Posten Bring, avd. Stavanger;4033;1015;Stavanger Distribusjon
Posten Bring, Avd. Kristiansand;4600;1011;Kristiansand Distribusjon
Posten Bring, Avd. Bergen;5000;1005;Bergen Gods Distribusjon
Posten Bring, Avd. Haugesund;5500;1017;Haugesund Distribusjon
Posten Bring, Avd. Ålesund;6003;1019;Ålesund Distribusjon
Posten Bring, Avd. Molde;6401;1023;Molde Distribusjon
Posten Bring, Avd. Måløy;6700;1037;Sogn og Fjordane Distribusjon
Posten Bring, avd. Førde;6800;1037;Sogn og Fjordane Distribusjon
Bring Frigo AS, avd. Stryn;6880;1060;Stryn Thermo
Posten Bring, Avd. Trondheim;7000;1021;Trondheim Distribusjon
Posten Bring, avd. Røros;7374;1021;Trondheim Distribusjon
Posten Bring, Avd. Bodø;8000;1035;Fauske Distribusjon
Posten Norge avd. Svolvær;8371;1025;Narvik Distribusjon
Posten Norge, avd. Sortland;8403;1025;Narvik Distribusjon
Posten Norge AS;8502;;#N/A
Posten Bring, avd. Narvik;8510;1025;Narvik Distribusjon
Posten Bring, Avd. Mo i Rana;8642;1029;Helgeland Distribusjon
Posten Bring, avd. Sandnessjøen;8800;1029;Helgeland Distribusjon
Posten Bring, avd. Brønnøysund;8910;1029;Helgeland Distribusjon
Posten Bring, avd. Tromsø;9000;1031;Tromsø Gods Distribusjon
Posten Bring, avd. Harstad;9400;1025;Narvik Distribusjon
Posten Bring, avd. Alta;9510;1033;Alta Distribusjon
Posten Bring, avd. Tana;9846;1033;Alta Distribusjon
Posten Bring, avd. Kirkenes;9910;1033;Alta Distribusjon
Posten Norge AS, avd. Otta;2670;1027;Hamar Distribusjon
