RangeFrom;RangeTo;Dept;DeptName;Terminal;Searchname;
9500;9998;1033;Alta Distribusjon;TNOALF;NOPOSTENALTA01;
5000;5399;1039;Bergen Pakker Distribusjon;TNOBGO2;NOPOSTENBERGE02;
5600;5999;1039;Bergen Pakker Distribusjon;TNOBGO2;NOPOSTENBERGE02;
3000;3099;1013;Drammen Distribusjon;TNODRM;NOPOSTENDRAMM01;
3300;3699;1013;Drammen Distribusjon;TNODRM;NOPOSTENDRAMM01;
8000;8299;1035;Fauske Distribusjon;TNOFAU;NOPOSTENFAUSK01;
1500;1799;1009;Fredrikstad Distribusjon;TNOFRK;NOPOSTENFREDR01;
2300;2699;1027;Hamar Distribusjon;TNOHMR;NOPOSTENHAMAR01;
2800;2999;1027;Hamar Distribusjon;TNOHMR;NOPOSTENHAMAR01;
4200;4299;1017;Haugesund Distribusjon;TNOHAU;NOPOSTENHAUGE01;
5400;5599;1017;Haugesund Distribusjon;TNOHAU;NOPOSTENHAUGE01;
8600;8899;1029;Helgeland Distribusjon;TNOMQN;NOPOSTENMOIRA01;
4500;4999;1011;Kristiansand Distribusjon;TNOKRS;NOPOSTENKRIST01;
6300;6699;1023;Molde Distribusjon;TNOMOL;NOPOSTENMOLDE01;
8300;8599;1025;Narvik Distribusjon;TNONVK;NOPOSTENNARVI01;
9300;9499;1025;Narvik Distribusjon;TNONVK;NOPOSTENNARVI01;
0;1499;1002;Oslo Distribusjon;TNOOSL;NOPOSTENOSLO01;
1800;2299;1002;Oslo Distribusjon;TNOOSL;NOPOSTENOSLO01;
2700;2799;1002;Oslo Distribusjon;TNOOSL;NOPOSTENOSLO01;
6700;6999;1037;Sogn og Fjordane Distribusjon;TNOFDE;NOPOSTENFORDE01;
4000;4199;1015;Stavanger Distribusjon;TNOSVG;NOPOSTENSTAVA01;
4300;4499;1015;Stavanger Distribusjon;TNOSVG;NOPOSTENSTAVA01;
3100;3299;1007;Stokke Distribusjon;TNOSTK;NOPOSTENSTOKK01;
3700;3999;1007;Stokke Distribusjon;TNOSTK;NOPOSTENSTOKK01;
9000;9299;1031;Tromsø Gods Distribusjon;TNOTOS2;NOPOSTENTROMS02;
7000;7999;1021;Trondheim Distribusjon;TNOTRD;NOPOSTENTROND01;
8900;8999;1021;Trondheim Distribusjon;TNOTRD;NOPOSTENTROND01;
6000;6299;1019;Ålesund Distribusjon;TNOAES;NOPOSTENALESU01;
